nombre,categoria,etiqueta,precio,imagen,,,,,,
Mayar Natural Intense,ARABE,,84.23,https://http2.mlstatic.com/D_NQ_NP_734917-MLU74463479145_022024-O.webp,,,,,,
Mayar Cherry Intense,ARABE,,119.73,https://rimage.ripley.com.pe/home.ripley/Attachment/MKP/4467/PMP20000982251/full_image-1.jpeg,,,,,,
Mayar Cherry Intense mist,ARABE,,80.68,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhQpxa4FIBiNC4Mv-BEjTdRskY9KaRkscKlg&s,,,,,,
Nebras,ARABE,,117.06,https://http2.mlstatic.com/D_NQ_NP_961658-MLA93441022780_092025-O.webp,,,,,,
Haya,ARABE,,117.06,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMWKz7DHEgVYK1iE98wBZgnDYQIvWeB1rsEw&s,,,,,,
Eclaire,ARABE,,124.87,https://http2.mlstatic.com/D_NQ_NP_854522-MLU76885472895_062024-O.webp,,,,,,
Eclaire Banoffi,ARABE,,128.42,https://http2.mlstatic.com/D_NQ_NP_716071-MPE94370632164_102025-O.webp,,,,,,
Eclaire Pistache,ARABE,,128.42,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM9qHyq6wxvEpYMhxtP2Mcya7RphRlbgvVdg&s,,,,,,
AFFEF,ARABE,,110.85,https://i5.walmartimages.cl/asr/c05f0bbd-24d3-49ca-bba7-24895dd10243.8185c11b466b978823038fbd60464c6f.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,,,,,,
Victoria,ARABE,,128.42,https://http2.mlstatic.com/D_NQ_NP_789237-MLA82530952996_032025-O.webp,,,,,,
Masumam White Intense,ARABE,,135.7,https://rimage.ripley.com.pe/home.ripley/Attachment/MKP/4287/PMP20001087239/thumbnail-1.jpeg,,,,,,
Emmer,ARABE,,141.03,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPBMjY8RshOkfZbOv1gULXngi3NhSer0AgMw&s,,,,,,
Atheeri,ARABE,,155.23,https://simple.ripley.com.pe/product/_next/image?url=https%3A%2F%2Frimage.ripley.com.pe%2Fhome.ripley%2FAttachment%2FMKP%2F4467%2FPMP20001082961%2Fimagen2-1.jpeg&w=3840&q=100,,,,,,
Pisa,ARABE,,146.17,https://http2.mlstatic.com/D_NQ_NP_684974-MPE81102431832_122024-O.webp,,,,,,
Jasooe,ARABE,,117.77,https://http2.mlstatic.com/D_Q_NP_603895-MLU72889292400_112023-O.webp,,,,,,
